movieId,count
3175,17512
471,12016
1580,48434
44022,6540
68135,3678
166558,735
1088,14112
1238,3342
1342,4288
1645,16718
1959,5360
1591,6188
3794,849
3997,2477
4519,3060
4818,50
4900,373
5803,1473
6620,4488
7340,395
8638,6417
54190,2950
96488,1837
1829,285
2366,7284
3918,1687
2142,2529
6466,442
2122,2921
7982,1253
33722,211
36525,2405
2866,1451
833,1507
175197,1047
191933,3
160563,1060
179749,447
26425,410
284489,182
141422,333
7833,356
280218,1059
496,425
3749,144
139747,384
4101,51
7993,147
32460,1002
210175,309
150604,92
234973,8
243392,1
135867,133
31367,270
27760,51
2659,263
31035,219
150383,2
216627,3
41575,101
5300,674
6658,827
192545,33
183955,22
4935,67
31528,196
148,371
463,428
6357,561
7253,81
34234,6
74820,48
235599,1
162296,7
57370,249
26755,67
142084,90
195263,14
200166,22
270122,3
90019,8
40574,243
89056,27
7240,50
145504,8
91937,27
46952,19
119432,33
131213,1
156017,32
283137,40
141299,13
76143,49
63645,41
144414,17
186109,12
247584,2
93948,21
102798,54
144522,18
157793,26
91784,35
27484,5
152882,9
154077,15
217119,31
185795,11
97186,29
7880,44
219352,24
182945,5
192401,3
158803,2
163046,1
176073,78
187027,16
272821,7
6397,24
31983,50
47501,9
175513,4
170010,2
124861,48
189149,24
193137,28
206351,2
130062,4
167532,11
185705,6
221858,6
176809,19
90817,9
169588,10
181209,13
146224,2
154464,4
146988,14
146036,18
172959,8
109800,14
64519,43
83250,30
149688,19
88674,31
149761,17
175233,47
205371,2
206501,5
214660,2
85332,13
204974,7
26708,6
117987,2
203429,5
271939,1
158593,3
197949,4
120861,10
82529,14
96853,51
30970,42
47084,56
140541,18
195291,12
216941,3
243856,1
104064,11
196301,5
147524,3
116259,8
122484,9
160492,3
186039,10
190227,4
225277,4
143432,4
134607,5
133153,43
136924,10
5156,44
133577,8
5518,55
135965,12
1721,45767
858,66440
3698,8371
48780,32965
51927,818
74452,802
166635,5934
4161,5383
69481,11402
101362,2358
540,5074
737,4695
1025,6830
1084,10610
1127,20399
2387,2518
2563,979
2580,9015
3179,1624
4219,529
4929,819
6773,4399
43921,976
91690,322
251086,1708
263007,3971
1483,3232
56941,3091
196889,1866
897,904
191479,256
99996,176
4158,1128
1395,2289
1460,823
3475,904
5614,104
8928,549
8932,154
92008,750
96565,327
101971,83
182637,317
185435,177
254684,52
288265,424
200448,67
165287,15
79647,15
267458,95
243,470
45183,565
1507,393
137389,13
62526,72
202237,497
26699,388
1990,156
176351,71
8803,65
48711,195
152061,357
101761,185
46108,37
78905,30
147246,78
153484,14
217023,6
219511,5
119907,26
146323,25
623,35
255153,7
130912,15
177771,282
2811,34
50954,485
168292,4
78272,54
141725,19
232369,3
267474,1
110433,36
163663,119
161908,2
236581,1
140210,7
204218,1
7417,92
4190,613
230129,8
63781,13
65974,14
166445,5
182387,62
27261,54
129818,45
173285,26
278814,7
1896,280
27888,87
273747,17
279758,14
26544,49
71709,17
190509,42
205615,6
225866,5
168926,21
41704,29
65300,54
81312,50
103547,55
105252,29
91298,11
248836,19
118258,5
76312,33
152830,4
152836,37
159255,2
57513,28
98271,3
96415,61
167760,21
168172,74
193271,15
208645,12
199035,7
47935,34
183931,4
2235,36
96933,20
152328,1
209449,13
145380,4
152856,3
216426,27
199478,8
209423,47
125776,1
6623,47
146018,36
210099,6
236027,2
276251,107
6393,7
7168,96
201725,37
202419,3
204770,1
204774,2
204990,7
206415,8
180445,25
216863,10
279736,8
214084,1
233211,4
152049,3
217867,1
31680,12
140148,14
184503,10
111447,16
116947,18
176339,29
290489,3
143438,2
125007,6
76169,29
186173,6
207421,4
119169,21
103388,17
171915,2
89506,16
243604,16
197149,4
112251,3
166237,4
260433,8
246646,8
200682,4
392,285
131389,90
133255,15
137445,7
26801,29
134338,15
2999,90
137018,1
1522,41
265162,1
3226,5
1270,61879
31,10223
1339,11331
2393,9104
1903,58
7879,211
80906,2912
3000,17730
196417,1590
176751,1929
2572,16876
516,3507
1303,3918
2996,776
3704,6824
5071,192
5345,52
5984,159
6266,1739
50792,538
55272,796
55363,3624
61250,1278
82459,10677
278578,1276
27266,1728
4391,173
7387,4559
3213,2227
6482,2233
219994,1153
4489,7193
74948,1019
135137,1640
197207,303
2711,312
6559,548
26178,225
31435,450
183077,95
1650,433
1699,1182
2776,121
71670,426
71732,181
174181,145
85268,131
54958,60
1322,296
5287,194
87028,211
3761,488
8222,130
154234,3
191869,418
71821,64
218679,62
58850,66
96840,16
173151,21
205427,5
79760,89
225776,368
26111,472
59680,34
93432,198
93240,267
56022,44
86206,50
195869,7
34435,216
189819,160
163118,40
131650,12
182011,9
222356,196
32525,243
55498,110
186045,29
8257,93
89194,80
5117,255
8924,103
67865,16
48035,62
174655,7
188477,96
168144,14
38656,96
198025,6
120315,14
155547,12
164143,15
279204,39
146990,9
249180,24
67068,82
1143,62
245740,12
172253,21
216294,1
171609,36
210133,20
276985,20
32988,79
114680,68
193165,7
105086,26
3352,33
228735,1
26128,69
177507,2
201688,3
193139,10
7281,81
32560,49
104015,20
186607,10
212605,12
74097,30
83654,6
203020,6
218617,2
41126,22
8407,63
154834,8
6825,84
59667,6
119641,2
206129,6
110512,21
145206,25
279694,31
289019,1
180199,17
149854,14
162798,3
217771,5
282711,12
159177,40
98766,9
155599,30
209585,4
114128,5
125634,7
204562,3
245150,2
167806,14
189153,4
188603,18
232827,1
235225,18
185115,4
185127,2
212000,3
229119,32
97128,12
142608,20
1139,27
211077,7
129219,7
168902,6
109450,42
176233,2
235569,3
100836,7
239440,1
80315,31
207095,15
121294,8
255613,1
156123,4
156925,4
145184,10
75979,5
124432,3
129488,6
155834,19
107215,12
1352,792
136030,48
3488,77
5173,57
157196,11
136934,2
2821,34
139459,3
2025,2727
1884,13214
2231,7855
33615,9708
51086,3673
83613,3385
1265,46512
4239,11146
5074,1031
1975,2125
251,400
2259,1450
2443,1307
3098,5278
3986,6371
5308,3705
6598,363
33437,1905
270698,3989
85,2703
71106,958
101088,1130
3089,4903
192389,3263
